collision_index,collision_year,location_easting_osgr,location_northing_osgr,collision_severity,number_of_vehicles,number_of_casualties,day_of_week,local_authority_highway_current,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,collision_injury_based,hour_of_day,month,is_weekend,time_period,multi_vehicle
201514K034015,2015,1.0,1.0,3,0.5,1,7,E08000019,6,0,6,30,0,4,0,-1,0.0,1,1,1,0,0,1,2,2.0,0,12,2,1,1,0
201514K328015,2015,1.0,0.4509513742071931,3,0.5,1,3,E08000019,4,6054,6,30,0,4,0,-1,0.0,4,1,1,0,0,1,1,2.0,0,16,12,0,1,0
201514K092315,2015,1.0,1.0,3,0.5,1,1,E08000019,6,0,6,20,16,4,6,0,0.0,4,1,1,0,0,1,1,2.0,0,23,4,1,3,0
201514K175715,2015,0.8608480565371082,0.528752642706138,3,0.5,1,3,E08000019,3,621,6,30,0,4,0,-1,0.0,1,1,1,0,0,1,1,2.0,0,15,7,0,1,0
201514K114515,2015,1.0,1.0,3,0.5,1,2,E08000019,3,61,3,30,16,2,3,6135,14.0,1,1,1,0,0,1,1,2.0,0,13,5,0,1,0
201514K248915,2015,1.0,1.0,3,0.5,1,7,E08000019,3,6178,3,40,0,2,3,6102,0.0,1,1,1,0,0,1,1,2.0,0,17,10,1,2,0
201514K071615,2015,1.0,0.49725158562368676,1,0.5,1,4,E08000019,3,61,3,40,0,4,0,-1,0.0,1,1,1,0,0,1,1,2.0,0,17,3,0,2,0
201514K082015,2015,0.4314487632508843,0.8329809725158555,3,0.5,1,5,E08000019,3,625,6,50,16,4,6,0,0.0,1,1,1,0,0,2,1,2.0,0,14,4,0,1,0
201514K308015,2015,1.0,1.0,3,0.5,1,5,E08000019,4,6085,6,30,13,4,6,0,0.0,1,1,1,0,0,1,2,2.0,0,13,12,0,1,0
201514K041215,2015,1.0,1.0,3,0.5,1,6,E08000019,3,6109,3,40,13,2,6,0,0.0,1,1,1,0,0,1,1,2.0,0,15,2,0,1,0
201514K166815,2015,1.0,1.0,3,0.5,1,3,E08000019,3,625,6,30,0,4,0,-1,0.0,1,1,1,0,0,1,1,2.0,0,8,7,0,0,0
201514K006415,2015,1.0,1.0,2,0.5,1,3,E08000019,4,6076,6,30,13,4,6,0,13.0,1,8,2,0,0,1,1,2.0,0,7,1,0,0,0
201514K237815,2015,1.0,1.0,3,0.5,1,5,E08000019,3,6135,6,30,13,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,14,9,0,1,0
201514K303815,2015,1.0,1.0,3,0.5,1,6,E08000019,6,0,6,30,13,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,10,11,0,0,0
201514K131915,2015,1.0,0.9744186046511629,3,0.5,1,4,E08000019,3,621,3,30,13,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,8,6,0,0,0
201514K265315,2015,1.0,1.0,3,0.5,1,2,E08000019,4,6080,6,30,16,4,6,0,0.0,4,1,1,0,0,1,1,2.0,0,18,10,0,2,0
201514K231615,2015,1.0,1.0,3,0.5,1,2,E08000019,3,6178,6,30,13,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,8,9,0,0,0
201514K058615,2015,1.0,1.0,3,0.5,1,6,E08000019,3,621,6,30,13,4,6,0,14.0,1,1,1,0,0,1,1,2.0,0,15,2,0,1,0
201514K023915,2015,0.7220494699646594,1.0,3,0.5,1,4,E08000019,6,0,6,30,13,4,6,0,0.0,6,6,3,0,0,2,1,2.0,0,21,1,0,3,0
201514K276515,2015,0.8068551236749073,0.45285412262157365,3,0.5,1,1,E08000019,3,621,3,30,13,4,6,0,17.0,1,1,1,0,0,1,1,2.0,0,12,11,1,1,0
201514K195015,2015,1.0,1.0,3,0.5,1,5,E08000019,6,0,6,20,0,4,0,-1,0.0,1,1,1,0,0,1,1,2.0,0,15,8,0,1,0
201514K199215,2015,1.0,1.0,2,0.5,1,1,E08000019,3,621,6,30,16,2,4,6388,15.0,4,1,1,0,0,1,1,2.0,0,21,8,1,3,0
201514K185015,2015,1.0,1.0,3,0.5,1,6,E08000019,3,6178,6,30,13,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,10,7,0,0,0
201514K288415,2015,1.0,0.6323467230444066,3,0.5,1,2,E08000019,3,6102,1,30,0,4,3,61,0.0,4,1,1,0,0,2,1,2.0,0,6,11,0,0,0
201514K087515,2015,1.0,1.0,3,0.5,1,4,E08000019,3,6135,6,30,13,4,6,0,0.0,1,8,1,0,0,1,1,2.0,0,18,3,0,2,0
201514K139615,2015,1.0,1.0,3,0.5,1,5,E08000019,3,61,1,30,0,2,3,61,14.0,1,1,1,0,0,1,2,2.0,0,20,6,0,2,0
201514K237415,2015,1.0,1.0,3,0.5,1,6,E08000019,1,1,3,70,0,4,0,-1,0.0,1,1,1,0,0,1,2,1.0,0,9,10,0,0,0
201514K106115,2015,1.0,1.0,2,0.5,1,4,E08000019,3,6135,6,40,13,4,5,0,0.0,1,1,1,0,0,1,1,2.0,0,16,4,0,1,0
201514K317515,2015,1.0,1.0,3,0.5,1,6,E08000019,3,6135,6,40,13,4,6,0,0.0,4,9,1,0,0,1,2,2.0,0,23,12,0,3,0
201514K225115,2015,1.0,1.0,3,0.5,1,3,E08000019,6,0,6,20,16,4,6,0,0.0,4,2,2,0,0,1,1,2.0,0,5,9,0,3,0
201514K209415,2015,1.0,1.0,3,0.5,1,2,E08000019,6,0,6,30,13,4,6,0,14.0,4,1,1,0,0,1,1,2.0,0,22,8,0,3,0
201514K248615,2015,1.0,1.0,3,0.5,1,7,E08000019,3,6102,6,30,13,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,16,9,1,1,0
201514K304515,2015,1.0,1.0,2,0.5,1,2,E08000019,3,621,6,30,13,4,6,0,14.0,4,5,2,0,0,1,1,2.0,0,16,11,0,1,0
201514K303115,2015,1.0,1.0,3,0.5,1,2,E08000019,3,61,6,30,18,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,7,11,0,0,0
201514K263015,2015,1.0,1.0,3,0.5,1,3,E08000019,6,0,6,30,13,2,3,61,0.0,1,1,1,0,0,1,2,2.0,0,8,10,0,0,0
201514K039815,2015,1.0,1.0,3,0.5,1,1,E08000019,5,0,6,30,0,4,0,-1,14.0,4,1,1,0,0,1,1,2.0,0,1,2,1,3,0
201514K147615,2015,1.0,1.0,3,0.5,1,5,E08000019,6,0,6,30,13,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,9,6,0,0,0
201514K325515,2015,1.0,1.0,3,0.5,1,1,E08000019,1,1,7,70,0,4,1,1,0.0,1,1,1,0,0,1,1,1.0,0,11,12,1,0,0
